,message,label,bow_results,sc_results
60,"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there.",0,0,0
61,I guess it is useless calling u 4 something important.,0,0,0
62,Ha ha - had popped down to the loo when you hello-ed me. Hello!,0,0,0
63,It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.,0,0,0
64,I keep ten rs in my shelf:) buy two egg.,0,0,0
65,Is ur changes 2 da report big? Cos i've already made changes 2 da previous report.,0,0,0
66,Captain is in our room:),0,0,0
67,Are you still playing with gautham?,0,0,0
68,That seems unnecessarily hostile,0,0,0
69,i thought we were doing a king of the hill thing there.,0,0,0
70,"Fyi I'm taking a quick shower, be at epsilon in like  &lt;#&gt;  min",0,0,0
71,Hi:)did you asked to waheeda fathima about leave?,0,0,0
72,You still around? I could use a half-8th,0,0,0
73,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,1,1,1
74,"Ur balance is now å£600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!",1,0,0
75,Ur TONEXS subscription has been renewed and you have been charged å£4.50. You can choose 10 more polys this month. www.clubzed.co.uk *BILLING MSG*,1,0,0
76,yeah sure thing mate haunt got all my stuff sorted but im going sound anyway promoting hex for .by the way who is this? dont know number. Joke,0,0,0
77,Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 8000930705,1,0,1
78,"see you then, we're all christmassy here!",0,0,0
79,"Only just got this message, not ignoring you. Yes, i was. Shopping that is",0,0,0
80,Juz go google n search 4 qet...,0,0,0
81,"Sorry, I'll call later  &lt;#&gt; mins",0,0,0
82,Dun need to use dial up juz open da browser n surf...,0,0,0
83,Take care and sleep well.you need to learn to change in life.you only need to get CONVINCED on that.i will wait but no more conversations between us.GET CONVINCED by that time.Your family is over for you in many senses.respect them but not overemphasise.or u have no role in my life.,0,0,0
84,"For your chance to WIN a FREE Bluetooth Headset then simply reply back with \ADP\""""",1,0,0
85,"When you get free, call me",0,0,0
86,How have your little darlings been so far this week? Need a coffee run tomo?Can't believe it's that time of week already Û_,0,0,0
87,Ok i msg u b4 i leave my house.,0,0,0
88,Still at west coast... Haiz... ÌÏ'll take forever to come back...,0,0,0
89,alright. Thanks for the advice. Enjoy your night out. I'ma try to get some sleep...,0,0,0
90,Update your face book status frequently :),0,0,0
91,Just now saw your message.it k da:),0,0,0
92,Sounds great! Im going to sleep now. Have a good night!,0,0,0
93,Nothing will ever be easy. But don't be looking for a reason not to take a risk on life and love,0,0,0
94,I'm going 2 orchard now laready me reaching soon. U reaching?,0,0,0
95,COME BACK TO TAMPA FFFFUUUUUUU,0,0,0
96,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",1,0,0
97,"And that is the problem. You walk around in \julianaland\"" oblivious to what is going on around you. I say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do. It's not that you don't know why I'm upset--it's that you don't listen when i tell you WHAT is going to upset me. Then you want to be surprised when I'm mad.""",0,0,0
98,I'm home. Ard wat time will u reach?,0,0,0
99,This is wishing you a great day. Moji told me about your offer and as always i was speechless. You offer so easily to go to great lengths on my behalf and its stunning. My exam is next friday. After that i will keep in touch more. Sorry.,0,0,0
100,Hey u still at the gym?,0,0,0
101,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,",0,0,0
102,"Nothing, smsing u n xy lor. Sorry lor da guys neva c u in person but they sort of know u lor. So u wan 2 meet them xy ask me 2 bring u along 4 our next meeting.",0,0,0
103,Miss call miss call khelate kintu opponenter miss call dhorte lage. Thats d rule. One with great phone receiving quality wins.,0,0,0
104,Call me when you get the chance plz &lt;3,0,0,0
105,My computer just fried the only essential part we don't keep spares of because my fucking idiot roommates looovvve leaving the thing running on full  &lt;#&gt; /7,0,0,0
106,"In case you wake up wondering where I am, I forgot I have to take care of something for grandma today, should be done before the parade",0,0,0
107,She told to hr that he want posting in chennai:)because i'm working here:),0,0,0
108,"Sure, whenever you show the fuck up &gt;:(",0,0,0
109,Ok both our days. So what are you making for dinner tonite? Am I invited?,0,0,0
110,Normally i use to drink more water daily:),0,0,0
111,"Urgh, coach hot, smells of chip fat! Thanks again, especially for the duvet (not a predictive text word).",0,0,0
112,Hiya. How was last night? I've been naughty and bought myself clothes and very little ... Ready for more shopping tho! What kind of time do you wanna meet?,0,0,0
113,Hey mate. Spoke to the mag people. WeÛ÷re on.  the is deliver by the end of the month. Deliver on the 24th sept. Talk later. ,0,0,0
114,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",0,0,0
115,Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd,1,0,0
116,Omg how did u know what I ate?,0,0,0
117,:( but your not here....,0,0,0
118,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records",1,0,0
119,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08718727870150ppm,1,1,1
120,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. å£1.50 increments. Help08718728876",1,0,0
121,Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX å£1.50,1,0,0
122,It's ok i wun b angry. Msg u aft i come home tonight.,0,0,0
123,"Carlos is down but I have to pick it up from him, so I'll swing by usf in a little bit",0,0,0
124,I'm stuck in da middle of da row on da right hand side of da lt... ,0,0,0
125,FreeMsg: Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop,1,0,0
126,\Hey j! r u feeling any better,0,0,0
127,"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up... ",0,0,0
128,Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B,1,0,0
129,"Sorry, I'll call later In meeting.",0,0,0
130,"Received, understood n acted upon!",0,0,0
131,"U need my presnts always bcz U cant mis love. \jeevithathile irulinae neekunna prakasamanu sneham\"" prakasam ennal prabha 'That mns prabha is'LOVE' Got it. Dont mis me....""",0,0,0
132,I'm on the bus. Love you,0,0,0
133,Todays Voda numbers ending with 7634 are selected to receive a å£350 reward. If you have a match please call 08712300220 quoting claim code 7684 standard rates apply.,1,1,1
134,Oh wow thats gay. Will firmware update help,0,0,0
135,Oh ho. Is this the first time u use these type of words,0,0,0
136,Captain vijaykanth is doing comedy in captain tv..he is drunken :),0,0,0
137,You call him and tell now infront of them. Call him now.,0,0,0
138,"When I was born, GOD said, \Oh No! Another IDIOT\"". When you were born",0,0,0
139,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07099833605 to re-schedule. Ref:9280114",1,0,0
140,"Hi babe its Chloe, how r u? I was smashed on saturday night, it was great! How was your weekend? U been missing me? SP visionsms.com Text stop to stop 150p/text",1,0,0
141,ÌÏ ready then call me...,0,0,0
142,Are you staying in town ?,0,0,0
143,"Aiyo... Her lesson so early... I'm still sleepin, haha... Okie, u go home liao den confirm w me lor...",0,0,0
144,"Yup. Anything lor, if u dun wan it's ok...",0,0,0
145,HELLO PEACH! MY CAKE TASTS LUSH!,0,0,0
146,Good Morning my Dear Shijutta........... Have a great &amp; successful day.,0,0,0
147,Oh k:)after that placement there ah?,0,0,0
148,"Not for possession, especially not first offense",0,0,0
149,"Nt only for driving even for many reasons she is called BBD..thts it chikku, then hw abt dvg cold..heard tht vinobanagar violence hw is the condition..and hw ru ? Any problem?",0,0,0
150,Many more happy returns of the day. I wish you happy birthday.,0,0,0
151,Orh i tot u say she now still dun believe.,0,0,0
152,The beauty of life is in next second.. which hides thousands of secrets. I wish every second will be wonderful in ur life...!! gud n8,0,0,0
153,"If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to",0,0,0
154,Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..,0,0,0
155,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,1,0,1
156,Thanks 4 your continued support Your question this week will enter u in2 our draw 4 å£100 cash. Name the NEW US President? txt ans to 80082,1,0,0
157,I'm home. Doc gave me pain meds says everything is fine.,0,0,0
158,It's Ì© only $140 ard...Ìä rest all ard $180 at least...Which is Ì© price 4 Ì© 2 bedrm ($900),0,0,0
159,I'm not sure if its still available though,0,0,0
160,Indeed and by the way it was either or - not both !,0,0,0
161,Holy living christ what is taking you so long,0,0,0
162,ÌÏ thk of wat to eat tonight.,0,0,0
163,We're on the opposite side from where we dropped you off,0,0,0
164,Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.,0,0,0
165,Santa calling! Would your little ones like a call from Santa Xmas Eve? Call 09077818151 to book you time. Calls1.50ppm last 3mins 30s T&C www.santacalling.com,1,0,0
166,Sorry for the delay. Yes masters,0,0,0
167,E admin building there? I might b slightly earlier... I'll call u when i'm reaching...,0,0,0
168,Me too. Mark is taking forever to pick up my prescription and the pain is coming back.,0,0,0
169,u r a winner U ave been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810710p/min (18 ),1,0,1
170,Yup but it's not giving me problems now so mayb i'll jus leave it...,0,0,0
171,Lol no. Just trying to make your day a little more interesting,0,0,0
172,Rats. Hey did u ever vote for the next themes?,0,0,0
173,"New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today! From ONLY å£1. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION.",1,0,0
174,Yay can't wait to party together!,0,0,0
175,All boys made fun of me today. Ok i have no problem. I just sent one message just for fun,0,0,0
176,Missing you too.pray inshah allah,0,0,0
177,S.this will increase the chance of winning.,0,0,0
178,Thanks  and ! Or bomb and date as my phone wanted to say! ,0,0,0
179,Ok...,0,1,1
180,"\Response\"" is one of d powerful weapon 2 occupy a place in others 'HEART'... So",0,0,0
181,Okey dokey swashbuckling stuff what oh.,0,0,0
182,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",0,0,0
183,1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face  &lt;#&gt; .joker face.,0,0,0
184,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,1,0,0
185,Yeah just open chat and click friend lists. Then make the list. Easy as pie,0,0,0
186,When/where do I pick you up,0,0,0
187,Send me the new number,0,0,0
188,Convey my regards to him,0,0,0
189,Oh for fuck's sake she's in like tallahassee,0,0,0
190,Warner Village 83118 C Colin Farrell in SWAT this wkend @Warner Village & get 1 free med. Popcorn!Just show msg+ticket@kiosk.Valid 4-7/12. C t&c @kiosk. Reply SONY 4 mre film offers,1,0,0
191,Will do. Have a good day,0,0,0
192,"Oh yes, why is it like torture watching england?",0,0,0
193,"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service",1,0,0
194,Once free call me sir.,0,0,1
195,Tomarrow i want to got to court. At  &lt;DECIMAL&gt; . So you come to bus stand at 9.,0,0,0
196,"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill",0,0,0
197,I'm vivek:)i got call from your number.,0,0,1
198,"A few people are at the game, I'm at the mall with iouri and kaila",0,0,0
199,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that,0,0,0
200,Hey come online! Use msn... We are all there,0,0,0
201,Networking job is there.,0,0,0
202,No rushing. I'm not working. I'm in school so if we rush we go hungry.,0,0,0
203,So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!,0,0,0
204,"We made it! Eta at taunton is 12:30 as planned, hope thatÛ÷s still okday?! Good to see you! :-xx",0,0,0
205,I'm hungry buy smth home...,0,0,0
206,My drive can only be read. I need to write,0,0,0
