,message,label,bow_results,sc_results
67,Hahaha..use your brain dear,0,0,0
68,Ok no problem... Yup i'm going to sch at 4 if i rem correctly...,0,0,0
69,"Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards.",0,0,0
70,"Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)",0,0,0
71,"Sir, waiting for your letter.",0,0,0
72,I think steyn surely get one wicket:),0,0,0
73,"Garbage bags, eggs, jam, bread, hannaford wheat chex",0,0,0
74,You'd like that wouldn't you? Jerk!,0,0,0
75,No one interested. May be some business plan.,0,0,0
76,Yup it's at paragon... I havent decided whether 2 cut yet... Hee...,0,0,0
77,Guai... ÌÏ shd haf seen him when he's naughty... ÌÏ so free today? Can go jogging...,0,0,0
78,Aiyo cos i sms Ì_ then Ì_ neva reply so i wait 4 Ì_ to reply lar. I tot Ì_ havent finish ur lab wat.,0,0,0
79,A å£400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a å£400 reward. Just call 09066380611,1,0,0
80,Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates,0,0,0
81,I cant pick the phone right now. Pls send a message,0,0,0
82,NOT MUCH NO FIGHTS. IT WAS A GOOD NITE!!,0,0,0
83,Hi. Hope you had a good day. Have a better night.,0,0,0
84,So how many days since then?,0,0,0
85,There is a first time for everything :),0,0,0
86,"Daddy, shu shu is looking 4 u... U wan me 2 tell him u're not in singapore or wat?",0,0,0
87,Nite nite pocay wocay luv u more than n e thing 4eva I promise ring u 2morrowxxxx,0,0,0
88,Nope. I just forgot. Will show next week,0,0,0
89,Ok k..sry i knw 2 siva..tats y i askd..,0,0,0
90,"Sorry, I'll call later",0,0,0
91,You're gonna have to be way more specific than that,0,0,0
92,"\What are youdoing later? Sar xxx\""""",0,0,0
93,Sac needs to carry on:),0,0,0
94,What???? Hello wats talks email address?,0,0,0
95,Arun can u transfr me d amt,0,0,0
96,"Sorry, I'll call later",0,0,0
97,Yup,0,1,1
98,Well obviously not because all the people in my cool college life went home ;_;,0,0,0
99,Dhoni have luck to win some big title.so we will win:),0,0,0
100,No probably  &lt;#&gt; %.,0,1,1
101,Ofcourse I also upload some songs,0,0,0
102,Marvel Mobile Play the official Ultimate Spider-man game (å£4.50) on ur mobile right now. Text SPIDER to 83338 for the game & we ll send u a FREE 8Ball wallpaper,1,0,0
103,Yes... I trust u to buy new stuff ASAP so I can try it out,0,0,0
104,Why did I wake up on my own &gt;:(,0,0,0
105,God's love has no limit. God's grace has no measure. God's power has no boundaries. May u have God's endless blessings always in ur life...!! Gud ni8,0,0,0
106,Lol they were mad at first but then they woke up and gave in.,0,0,0
107,"Just making dinner, you ?",0,0,0
108,Yes. Please leave at  &lt;#&gt; . So that at  &lt;#&gt;  we can leave,0,0,0
109,Can you pls send me that company name. In saibaba colany,0,0,0
110,You are a big chic. Common. Declare,0,0,0
111,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p på£3.99,1,0,1
112,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04,1,1,1
113,Its just the effect of irritation. Just ignore it,0,0,0
114,I think that tantrum's finished so yeah I'll be by at some point,0,0,0
115,happened here while you were adventuring,0,0,0
116,Aiyah ok wat as long as got improve can already wat...,0,0,0
117,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX,1,0,0
118,I can't believe how attached I am to seeing you every day. I know you will do the best you can to get to me babe. I will go to teach my class at your midnight,0,0,0
119,U still havent got urself a jacket ah?,0,0,0
120,"No, I was trying it all weekend ;V",0,0,0
121,Well keep in mind I've only got enough gas for one more round trip barring a sudden influx of cash,0,0,0
122,The guy did some bitching but I acted like i'd be interested in buying something else next week and he gave it to us for free,0,0,0
